,Unnamed: 0,index,Package,Vulnerability,OS,Package_Version,OS_base_name,Date_Reported,Date_Fixed,Days_For_Fix
0,0,0,tar,CVE-2018-20482,alpine:v3.6,1.31-r0,alpine,2018-12-26,,
1,1,1,tar,CVE-2016-6321,alpine:v3.6,1.29-r1,alpine,2016-10-27,,
2,12,12,tar,CVE-2019-9923,debian:8,#MAXV#,debian,2019-01-02,,
3,14,14,tar,CVE-2007-4131,debian:8,1.18-2,debian,2007-08-13,,
4,15,15,tar,CVE-2007-4476,debian:8,1.18-1,debian,2007-08-13,,
5,16,16,tar,CVE-2010-0624,debian:8,1.23-1,debian,2005-12-23,2011-09-13,2090.0
6,18,18,tar,CVE-2005-2541,debian:8,#MAXV#,debian,2005-08-04,,
7,19,19,tar,CVE-2006-6097,debian:8,1.16-2,debian,2006-11-21,,
8,20,20,tar,CVE-2005-1918,debian:8,1.14-2.2,debian,2001-07-02,,
9,21,21,tar,CVE-2006-0300,debian:8,1.15.1-3,debian,2006-02-22,,
10,22,22,tar,CVE-2002-1216,debian:8,1.13.25,debian,2001-07-02,,
11,64,64,tar,ELSA-2010-0141,oracle:5,2:1.15.1-23.0.1.el5_4.2,oracle,,,
12,65,65,tar,ELSA-2007-0860,oracle:5,2:1.15.1-23.0.1.el5,oracle,,,
13,66,66,tar,RHSA-2007:0860,centos:5,2:1.15.1-23.0.1.el5,centos,2007-08-13,,
14,67,67,tar,RHSA-2010:0141,centos:5,2:1.15.1-23.0.1.el5_4.2,centos,2005-12-23,,
15,68,68,redmine,CVE-2012-2054,debian:unstable,1.3.2+dfsg1-1,debian,2012-03-14,,
16,69,69,redmine,CVE-2016-10515,debian:unstable,3.2.3-1,debian,2017-10-17,2016-09-13,399.0
17,70,70,redmine,CVE-2017-15569,debian:unstable,3.4.4-1,debian,2017-10-15,2018-04-15,182.0
18,71,71,redmine,CVE-2014-1985,debian:unstable,2.5.1-1,debian,2014-03-29,,
19,72,72,redmine,CVE-2017-15574,debian:unstable,3.4.2-1,debian,2017-10-15,2018-04-02,169.0
20,73,73,redmine,CVE-2009-4459,debian:unstable,0.9.1-1,debian,2009-12-19,,
21,74,74,redmine,CVE-2015-8537,debian:unstable,3.2.0-1,debian,2015-12-08,2016-02-17,71.0
22,75,75,redmine,CVE-2017-15575,debian:unstable,3.4.2-1,debian,2017-10-15,2018-04-02,169.0
23,76,76,redmine,CVE-2015-8346,debian:unstable,3.2.0-1,debian,2015-11-24,2016-02-17,85.0
24,77,77,redmine,CVE-2017-16804,debian:unstable,3.4.2-1,debian,2017-11-13,2018-04-02,140.0
25,78,78,redmine,CVE-2011-4927,debian:unstable,1.0.5-1,debian,2010-12-23,,
26,79,79,redmine,CVE-2011-4929,debian:unstable,1.0.5-1,debian,2010-12-23,,
27,80,80,redmine,CVE-2011-4928,debian:unstable,1.0.5-1,debian,2010-12-23,,
28,81,81,redmine,CVE-2017-15573,debian:unstable,3.4.2-1,debian,2017-10-15,2018-04-02,169.0
29,82,82,redmine,CVE-2009-4079,debian:unstable,0.9.0~svn2902-1,debian,2009-11-19,,
30,83,83,redmine,CVE-2017-18026,debian:unstable,3.4.4-1,debian,2018-01-10,2018-04-15,95.0
31,84,84,redmine,CVE-2015-8474,debian:unstable,3.2.0-1,debian,2015-12-03,2016-02-17,76.0
32,85,85,redmine,CVE-2017-15577,debian:unstable,3.4.2-1,debian,2017-10-15,2018-04-02,169.0
