index,Package,Vulnerability,OS,Package_Version
0,tar,CVE-2018-20482,alpine:v3.6,1.31-r0
1,tar,CVE-2016-6321,alpine:v3.6,1.29-r1
2,tar,CVE-2016-6321,alpine:v3.7,1.29-r1
3,tar,CVE-2018-20482,alpine:v3.7,1.31-r0
4,tar,CVE-2016-6321,alpine:v3.8,1.29-r1
5,tar,CVE-2018-20482,alpine:v3.8,1.31-r0
6,tar,CVE-2016-6321,alpine:v3.4,1.29-r1
7,tar,CVE-2018-20482,alpine:v3.10,1.31-r0
8,tar,CVE-2016-6321,alpine:v3.10,1.29-r1
9,tar,CVE-2018-20482,alpine:v3.9,1.31-r0
10,tar,CVE-2016-6321,alpine:v3.9,1.29-r1
11,tar,CVE-2016-6321,alpine:v3.5,1.29-r1
12,tar,CVE-2019-9923,debian:8,#MAXV#
13,tar,CVE-2018-20482,debian:8,1.27.1-2+deb8u2
14,tar,CVE-2007-4131,debian:8,1.18-2
15,tar,CVE-2007-4476,debian:8,1.18-1
16,tar,CVE-2010-0624,debian:8,1.23-1
17,tar,CVE-2016-6321,debian:8,1.27.1-2+deb8u1
18,tar,CVE-2005-2541,debian:8,#MAXV#
19,tar,CVE-2006-6097,debian:8,1.16-2
20,tar,CVE-2005-1918,debian:8,1.14-2.2
21,tar,CVE-2006-0300,debian:8,1.15.1-3
22,tar,CVE-2002-1216,debian:8,1.13.25
23,tar,CVE-2007-4131,debian:9,1.18-2
24,tar,CVE-2016-6321,debian:9,1.29b-1.1
25,tar,CVE-2002-1216,debian:9,1.13.25
26,tar,CVE-2007-4476,debian:9,1.18-1
27,tar,CVE-2018-20482,debian:9,#MAXV#
28,tar,CVE-2010-0624,debian:9,1.23-1
29,tar,CVE-2005-2541,debian:9,#MAXV#
30,tar,CVE-2006-0300,debian:9,1.15.1-3
31,tar,CVE-2019-9923,debian:9,#MAXV#
32,tar,CVE-2005-1918,debian:9,1.14-2.2
33,tar,CVE-2006-6097,debian:9,1.16-2
34,tar,CVE-2019-9923,debian:unstable,#MAXV#
35,tar,CVE-2016-6321,debian:unstable,1.29b-1.1
36,tar,CVE-2007-4476,debian:unstable,1.18-1
37,tar,CVE-2010-0624,debian:unstable,1.23-1
38,tar,CVE-2005-1918,debian:unstable,1.14-2.2
39,tar,CVE-2007-4131,debian:unstable,1.18-2
40,tar,CVE-2018-20482,debian:unstable,1.30+dfsg-3.1
41,tar,CVE-2006-6097,debian:unstable,1.16-2
42,tar,CVE-2002-1216,debian:unstable,1.13.25
43,tar,CVE-2005-2541,debian:unstable,#MAXV#
44,tar,CVE-2006-0300,debian:unstable,1.15.1-3
45,tar,CVE-2006-0300,debian:10,1.15.1-3
46,tar,CVE-2016-6321,debian:10,1.29b-1.1
47,tar,CVE-2007-4131,debian:10,1.18-2
48,tar,CVE-2018-20482,debian:10,1.30+dfsg-3.1
49,tar,CVE-2005-1918,debian:10,1.14-2.2
50,tar,CVE-2007-4476,debian:10,1.18-1
51,tar,CVE-2010-0624,debian:10,1.23-1
52,tar,CVE-2019-9923,debian:10,#MAXV#
53,tar,CVE-2006-6097,debian:10,1.16-2
54,tar,CVE-2002-1216,debian:10,1.13.25
